"trip_id","transport_type","origin_station","destination_station","actual_arrival_delay_min","weather_condition","temperature_C","humidity_percent","wind_speed_kmh","precipitation_mm","event_type","peak_hour","is_late"
"T00000","Tram","Station_31","Station_6",8,"Storm",7.79,54.2,36.93,29.96,"No Event",0,TRUE
"T00001","Metro","Station_49","Station_32",1,"Rain",21.15,54.27,22.47,4.84,"No Event",0,FALSE
"T00002","Bus","Station_29","Station_42",21,"Clear",31.34,52.77,20.41,1.79,"Sports",0,TRUE
"T00003","Tram","Station_26","Station_18",3,"Clear",26.19,52.92,5.59,1.64,"No Event",0,FALSE
"T00004","Tram","Station_18","Station_15",3,"Snow",1.66,NA,20.55,14.8,"No Event",0,FALSE
"T00005","Metro","Station_32","Station_40",4,"Rain",17.17,52.57,20.3,5.69,"Protest",0,FALSE
"T00006","Bus","Station_22","Station_32",24,"Storm",15.5,59.67,49.67,28.17,"Parade",0,TRUE
"T00007","Bus","Station_38","Station_9",7,"Clear",16.76,63,13.48,1.79,"No Event",0,TRUE
"T00008","Tram","Station_17","Station_37",10,"Clear",18.91,NA,14.81,1.94,"Concert",0,TRUE
"T00009","Train","Station_23","Station_10",-5,"Fog",22.57,56.33,23.68,1.44,"No Event",0,FALSE
"T00010","Tram","Station_24","Station_20",7,"Snow",3.42,57.88,21.5,14.74,"No Event",0,TRUE
"T00011","Tram","Station_50","Station_6",-3,"Cloudy",7.2,50.47,18.93,2.08,"No Event",0,FALSE
"T00012","Tram","Station_8","Station_48",13,"Clear",29.83,NA,15.23,1.45,"Parade",1,TRUE
"T00013","Tram","Station_41","Station_3",19,"Storm",13.25,55.61,44.35,28.53,"No Event",1,TRUE
"T00014","Metro","Station_6","Station_42",19,"Storm",2.4,44.97,48.23,21.77,"No Event",1,TRUE
"T00015","Bus","Station_5","Station_11",-13,"Fog",25.29,49.49,12.57,1.75,"No Event",1,FALSE
"T00016","Metro","Station_44","Station_43",14,"Storm",10.13,45.75,48.06,29.35,"Festival",0,TRUE
"T00017","Metro","Station_29","Station_17",0,"Fog",24.61,NA,9.19,2.64,"No Event",0,FALSE
"T00018","Metro","Station_28","Station_32",-3,"Clear",23.96,55.26,11.85,1.95,"No Event",0,FALSE
"T00019","Tram","Station_11","Station_4",20,"Clear",26.3,44.22,10.52,1.5,"Festival",0,TRUE
"T00020","Train","Station_1","Station_4",10,"Clear",19.99,55.6,20.62,2.16,"Concert",0,TRUE
"T00021","Bus","Station_43","Station_17",-7,"Clear",21.9,52.1,16.11,1.77,"No Event",0,FALSE
"T00022","Train","Station_19","Station_41",1,"Cloudy",21.5,57.47,13.92,2.02,"No Event",0,FALSE
"T00023","Metro","Station_9","Station_19",23,"Snow",7.64,46.97,12.89,14.88,"Festival",0,TRUE
"T00024","Metro","Station_27","Station_5",19,"Snow",7.64,40.41,7.09,17.09,"Festival",0,TRUE
"T00025","Train","Station_34","Station_32",-3,"Cloudy",23.72,55.98,5.95,2.36,"No Event",0,FALSE
"T00026","Train","Station_44","Station_22",-6,"Clear",22.41,44.85,22.01,1.66,"No Event",0,FALSE
"T00027","Train","Station_4","Station_6",18,"Storm",17.51,48.18,40.08,28.52,"No Event",0,TRUE
"T00028","Metro","Station_36","Station_35",1,"Fog",NA,63.49,20.47,2.37,"No Event",0,FALSE
"T00029","Metro","Station_18","Station_22",11,"Snow",-1.76,48.99,17.49,15.9,"Sports",0,TRUE
"T00030","Bus","Station_15","Station_1",13,"Rain",26.14,63.82,20,10.36,"No Event",0,TRUE
"T00031","Bus","Station_13","Station_20",-5,"Fog",28.31,56.88,14.99,1.67,"Sports",0,FALSE
"T00032","Metro","Station_19","Station_22",3,"Rain",24.32,55.63,22.11,11.53,"Concert",0,FALSE
"T00033","Train","Station_49","Station_48",5,"Rain",13.78,51.97,14.55,7.29,"Sports",0,TRUE
"T00034","Train","Station_6","Station_11",8,"Clear",23.86,54.72,11.85,1.71,"Festival",0,TRUE
"T00035","Bus","Station_48","Station_13",28,"Rain",26.71,54.01,7.82,6.05,"No Event",0,TRUE
"T00036","Metro","Station_12","Station_42",-20,"Clear",22.41,57.05,18.42,1.86,"No Event",0,FALSE
"T00037","Bus","Station_37","Station_3",1,"Cloudy",23.67,47.34,21.13,2.1,"Concert",0,FALSE
"T00038","Bus","Station_17","Station_9",19,"Storm",3,49.45,38.11,19.08,"Protest",0,TRUE
"T00039","Tram","Station_23","Station_12",3,"Rain",20.4,46.44,9.43,10.96,"No Event",0,FALSE
"T00040","Tram","Station_26","Station_23",8,"Storm",16.26,53.23,37.79,29.38,"Protest",0,TRUE
"T00041","Tram","Station_29","Station_14",5,"Clear",20.33,51.78,NA,1.86,"No Event",0,TRUE
"T00042","Train","Station_33","Station_33",2,"Rain",23.55,51.61,14.05,7.1,"No Event",0,FALSE
"T00043","Metro","Station_27","Station_18",-4,"Fog",26.51,54.91,16.36,1.67,"No Event",0,FALSE
"T00044","Metro","Station_25","Station_49",7,"Cloudy",16.77,58.94,8.32,1.85,"Parade",0,TRUE
"T00045","Metro","Station_10","Station_41",10,"Snow",-5.08,52.44,3.85,NA,"No Event",0,TRUE
"T00046","Metro","Station_47","Station_9",-2,"Cloudy",22.65,53.58,18.21,1.4,"No Event",0,FALSE
"T00047","Tram","Station_23","Station_23",18,"Rain",13.55,58.05,15.3,10.41,"Parade",0,TRUE
"T00048","Train","Station_21","Station_10",1,"Cloudy",28.46,49.59,20.46,2.67,"Sports",0,FALSE
"T00049","Train","Station_21","Station_19",10,"Snow",15.85,47.94,19,15.74,"Protest",0,TRUE
"T00050","Tram","Station_43","Station_47",1,"Fog",26.83,54.67,9.34,1.04,"No Event",0,FALSE
"T00051","Train","Station_13","Station_5",13,"Storm",5.54,45.71,45.1,17.23,"No Event",0,TRUE
"T00052","Tram","Station_37","Station_47",4,"Fog",32.59,53.8,26.08,2.38,"No Event",1,FALSE
"T00053","Metro","Station_33","Station_23",1,"Cloudy",26.72,58.66,16.19,1.59,"Sports",1,FALSE
"T00054","Tram","Station_24","Station_30",16,"Snow",6.97,44.18,11.23,15.15,"Concert",1,TRUE
"T00055","Metro","Station_44","Station_25",20,"Storm",21.63,59.73,45.85,16.35,"Concert",1,TRUE
"T00056","Metro","Station_11","Station_28",18,"Snow",8.51,55.85,23.45,13.14,"Sports",0,TRUE
"T00057","Bus","Station_17","Station_34",-6,"Fog",22.1,49.28,17.48,1.41,"No Event",0,FALSE
"T00058","Tram","Station_4","Station_45",13,"Clear",29,53.5,12.67,1.55,"Concert",0,TRUE
"T00059","Bus","Station_47","Station_48",10,"Clear",32.49,54.5,16.66,1.66,"No Event",0,TRUE
"T00060","Tram","Station_25","Station_47",8,"Storm",14.01,50.5,44.25,16.24,"No Event",0,TRUE
"T00061","Tram","Station_30","Station_25",14,"Storm",15.43,52.62,50.2,17.02,"No Event",0,TRUE
"T00062","Bus","Station_9","Station_10",41,"Storm",5.6,48.93,40.53,15.09,"Sports",0,TRUE
"T00063","Bus","Station_21","Station_14",13,"Clear",25.02,52.37,20.51,2.34,"Festival",0,TRUE
"T00064","Tram","Station_20","Station_42",-6,"Fog",32.85,57.29,11.29,2.41,"No Event",0,FALSE
"T00065","Train","Station_19","Station_46",14,"Storm",12.43,61.55,43.94,35.36,"No Event",0,TRUE
"T00066","Metro","Station_19","Station_30",1,"Clear",20.88,50.94,12.28,2.13,"No Event",0,FALSE
"T00067","Bus","Station_12","Station_41",-2,"Storm",6.24,45.08,44.15,23.05,"Festival",0,FALSE
"T00068","Metro","Station_37","Station_25",7,"Storm",14.76,50.93,55.38,30.85,"Concert",0,TRUE
